Dil,ek/vezin,açıklama
Arapça,-an,Sonek
Arapça,-āt,Sonek
Arapça,-ayn,Sonek
Arapça,-ī,Sonek
Arapça,-īya(t)1,Sonek
Arapça,-īya(t)2,Sonek
Arapça,-īyāt,Sonek
Arapça,afāˁil,Çekim-Büküm
Arapça,afˁal,Çekim-Büküm
Arapça,afˁāl,Çekim-Büküm
Arapça,afˁilā,Çekim-Büküm
Arapça,afˁila(t),Çekim-Büküm
Arapça,faˁāˀil,Çekim-Büküm
Arapça,faˁal,Çekim-Büküm
Arapça,faˁˁāl,Çekim-Büküm
Arapça,faˁala,Çekim-Büküm
Arapça,faˁālā,Çekim-Büküm
Arapça,faˁala(t),Çekim-Büküm
Arapça,faˁāla(t),Çekim-Büküm
Arapça,faˁˁāla(t),Çekim-Büküm
Arapça,faˁalān,Çekim-Büküm
Arapça,faˁāli,Çekim-Büküm
Arapça,faˁālil,Çekim-Büküm
Arapça,faˁfaˁa(t),Çekim-Büküm
Arapça,faˁīl ,Çekim-Büküm
Arapça,fāˁil ,Çekim-Büküm
Arapça,faˁīla(t),Çekim-Büküm
Arapça,fāˁila(t),Çekim-Büküm
Arapça,faˁl,Çekim-Büküm
Arapça,faˁlā,Çekim-Büküm
Arapça,faˁla(t),Çekim-Büküm
Arapça,faˁlala(t),Çekim-Büküm
Arapça,faˁūl,Çekim-Büküm
Arapça,fawāˁil,Çekim-Büküm
Arapça,fiˁāl,Çekim-Büküm
Arapça,fiˁāla(t),Çekim-Büküm
Arapça,fiˁl,Çekim-Büküm
Arapça,fiˁla(t),Çekim-Büküm
Arapça,fiˁlān,Çekim-Büküm
Arapça,fiˁlīl,Çekim-Büküm
Arapça,fuˁāl,Çekim-Büküm
Arapça,fuˁˁāl,Çekim-Büküm
Arapça,fuˁalāˀ,Çekim-Büküm
Arapça,fuˁaylāˀ,Çekim-Büküm
Arapça,fuˁfuˁa(t),Çekim-Büküm
Arapça,fuˁl,Çekim-Büküm
Arapça,fuˁlāˀ,Çekim-Büküm
Arapça,fuˁla(t),Çekim-Büküm
Arapça,fuˁlān,Çekim-Büküm
Arapça,fuˁūl,Çekim-Büküm
Arapça,fuˁūla(t),Çekim-Büküm
Arapça,ifˁāl,Çekim-Büküm
Arapça,ifˁāle(t),Çekim-Büküm
Arapça,ifmiˁlāl,Çekim-Büküm
Arapça,iftiˁāl,Çekim-Büküm
Arapça,infiˁāl,Çekim-Büküm
Arapça,istifˁāl,Çekim-Büküm
Arapça,istifˁāla(t),Çekim-Büküm
Arapça,mafāˁil,Çekim-Büküm
Arapça,mafˁal,Çekim-Büküm
Arapça,mafˁala(t),Çekim-Büküm
Arapça,mafˁil,Çekim-Büküm
Arapça,mafˁila(t),Çekim-Büküm
Arapça,mafˁūl,Çekim-Büküm
Arapça,mafˁūla(t),Çekim-Büküm
Arapça,mifˁal,Çekim-Büküm
Arapça,mifˁāl,Çekim-Büküm
Arapça,mifˁala(t),Çekim-Büküm
Arapça,mufāˁal,Çekim-Büküm
Arapça,mufaˁˁal,Çekim-Büküm
Arapça,mufāˁala(t),Çekim-Büküm
Arapça,mufāˁil,Çekim-Büküm
Arapça,mufaˁˁil,Çekim-Büküm
Arapça,mufˁal,Çekim-Büküm
Arapça,mufaˁlal,Çekim-Büküm
Arapça,mufaˁlil,Çekim-Büküm
Arapça,mufˁil,Çekim-Büküm
Arapça,mufˁila(t),Çekim-Büküm
Arapça,muftaˁal,Çekim-Büküm
Arapça,muftaˁil,Çekim-Büküm
Arapça,munfaˁil,Çekim-Büküm
Arapça,mustafˁal,Çekim-Büküm
Arapça,mustafˁil,Çekim-Büküm
Arapça,mutafāˁal,Çekim-Büküm
Arapça,mutafaˁˁal,Çekim-Büküm
Arapça,mutafāˁil,Çekim-Büküm
Arapça,mutafaˁˁil,Çekim-Büküm
Arapça,tafaˁfuˁ,Çekim-Büküm
Arapça,tafāˁīl,Çekim-Büküm
Arapça,tafˁāl,Çekim-Büküm
Arapça,tafāˁul,Çekim-Büküm
Arapça,tafaˁˁul,Çekim-Büküm
Arapça,tafˁīl,Çekim-Büküm
Arapça,tafˁila(t),Çekim-Büküm
Arapça,yafˁul,Çekim-Büküm
Farsça,-a,Sonek
Farsça,-ān3,Sonek
Farsça,-and,Sonek
Farsça,-anda,Sonek
Farsça,-īn,Sonek
Farsça,-iş,Sonek
Farsça,-tar,Sonek
Farsça,fra-,Önek
Farsça,gu-,Önek
Farsça,ni-,Önek
Farsça,per-2,Önek
Farsça,vi-,Önek
Fransızca,-age,Sonek
Fransızca,-é,Sonek
Fransızca,-ise-,Sonek
Fransızca,-ite,Sonek
Fransızca,-ose,Sonek
Fransızca,à-,Önek
İngilizce,-er,Sonek
İngilizce,-ing,Sonek
İngilizce,-less,Sonek
İtalyanca,-in°2,Sonek
Latince,-()bilis,Sonek
Latince,-()t°,Sonek
Latince,-(t)ion,Sonek
Latince,-(t)iv°,Sonek
Latince,-(t)or,Sonek
Latince,-(t)orium,Sonek
Latince,-(t)rix,Sonek
Latince,-(t)ura,Sonek
Latince,-al°,Sonek
Latince,-ari°,Sonek
Latince,-do,Sonek
Latince,-ell°,Sonek
Latince,-end°,Sonek
Latince,-ent°,Sonek
Latince,-entia,Sonek
Latince,-esc-,Sonek
Latince,-et°,Sonek
Latince,-ia,Sonek
Latince,-ic°,Sonek
Latince,-icul°,Sonek
Latince,-id°,Sonek
Latince,-im°,Sonek
Latince,-in°,Sonek
Latince,-ior,Sonek
Latince,-itas,Sonek
Latince,-itis,Sonek
Latince,-ium,Sonek
Latince,-men,Sonek
Latince,-ment°,Sonek
Latince,-on,Sonek
Latince,-os°,Sonek
Latince,-ul°,Sonek
Latince,-ul°,Sonek
Latince,ab-,Önek
Latince,ad-,Önek
Latince,ambi-,Önek
Latince,con-,Önek
Latince,de-,Önek
Latince,dis-,Önek
Latince,ex-,Önek
Latince,in-1,Önek
Latince,in-2,Önek
Latince,inter-,Önek
Latince,ob-,Önek
Latince,per-1,Önek
Latince,prae-,Önek
Latince,pro-1,Önek
Latince,re-,Önek
Latince,se-,Önek
Latince,sub-,Önek
Latince,super-,Önek
Latince,trans-,Önek
Türkçe, -Ut,Sonek
Türkçe,-()r,Sonek
Türkçe,-(A)mAk,Sonek
Türkçe,-(g)A-,Sonek
Türkçe,-(g)Aç,Sonek
Türkçe,-(g)Ak,Sonek
Türkçe,-(g)An,Sonek
Türkçe,-(g)An-,Sonek
Türkçe,-(g)Ar-,Sonek
Türkçe,-(g)ArU,Sonek
Türkçe,-(g)Aş-,Sonek
Türkçe,-(g)Ay,Sonek
Türkçe,-(g)Iç,Sonek
Türkçe,-(g)Uç,Sonek
Türkçe,-(g)Uk,Sonek
Türkçe,-(g)Ur-,Sonek
Türkçe,-(I)n,Sonek
Türkçe,-(In)ç,Sonek
Türkçe,-(In)tI,Sonek
Türkçe,-A,Sonek
Türkçe,-AcAk,Sonek
Türkçe,-AgU,Sonek
Türkçe,-AgU2,Sonek
Türkçe,-AgUl,Sonek
Türkçe,-Ak,Sonek
Türkçe,-Al,Sonek
Türkçe,-Al-,Sonek
Türkçe,-AlA-,Sonek
Türkçe,-AlAk,Sonek
Türkçe,-Am,Sonek
Türkçe,-An2,Sonek
Türkçe,-AnAk,Sonek
Türkçe,-AsI,Sonek
Türkçe,-At,Sonek
Türkçe,-At-,Sonek
Türkçe,-Av,Sonek
Türkçe,-Az,Sonek
Türkçe,-çA,Sonek
Türkçe,-çA2,Sonek
Türkçe,-çAk,Sonek
Türkçe,-çI,Sonek
Türkçe,-çIl,Sonek
Türkçe,-çIn,Sonek
Türkçe,-çUk,Sonek
Türkçe,-dA,Sonek
Türkçe,-dA-,Sonek
Türkçe,-dA-2,Sonek
Türkçe,-dAm,Sonek
Türkçe,-dAş,Sonek
Türkçe,-dI,Sonek
Türkçe,-dU,Sonek
Türkçe,-dUrUk,Sonek
Türkçe,-gA,Sonek
Türkçe,-gAn2,Sonek
Türkçe,-gIn,Sonek
Türkçe,-gU,Sonek
Türkçe,-I-,Sonek
Türkçe,-I(g),Sonek
Türkçe,-I2,Sonek
Türkçe,-Iç,Sonek
Türkçe,-IçA,Sonek
Türkçe,-Ik,Sonek
Türkçe,-Ik-,Sonek
Türkçe,-Il,Sonek
Türkçe,-Il-,Sonek
Türkçe,-Il2,Sonek
Türkçe,-Im,Sonek
Türkçe,-In,Sonek
Türkçe,-In-,Sonek
Türkçe,-Ip,Sonek
Türkçe,-Ir-,Sonek
Türkçe,-IrgA-,Sonek
Türkçe,-IrkU,Sonek
Türkçe,-Iş,Sonek
Türkçe,-Iş-,Sonek
Türkçe,-IştIr-,Sonek
Türkçe,-It,Sonek
Türkçe,-It-,Sonek
Türkçe,-Iz,Sonek
Türkçe,-kA,Sonek
Türkçe,-kI,Sonek
Türkçe,-kIr-,Sonek
Türkçe,-lA-,Sonek
Türkçe,-lAk,Sonek
Türkçe,-lAn,Sonek
Türkçe,-lAn-,Sonek
Türkçe,-lAş-,Sonek
Türkçe,-lAyU,Sonek
Türkçe,-lI(g),Sonek
Türkçe,-lIk,Sonek
Türkçe,-mA,Sonek
Türkçe,-mAç,Sonek
Türkçe,-mAç2,Sonek
Türkçe,-mAcA,Sonek
Türkçe,-mAl,Sonek
Türkçe,-mAn,Sonek
Türkçe,-mAz,Sonek
Türkçe,-mIş,Sonek
Türkçe,-mUk,Sonek
Türkçe,-mUr,Sonek
Türkçe,-oş,Sonek
Türkçe,-oz,Sonek
Türkçe,-rA,Sonek
Türkçe,-sA-,Sonek
Türkçe,-sAl,Sonek
Türkçe,-sI,Sonek
Türkçe,-sIl,Sonek
Türkçe,-sIn-,Sonek
Türkçe,-sIz,Sonek
Türkçe,-sUk,Sonek
Türkçe,-t,Sonek
Türkçe,-tAy,Sonek
Türkçe,-tI,Sonek
Türkçe,-tIk,Sonek
Türkçe,-tUr-,Sonek
Türkçe,-U-,Sonek
Türkçe,-Uk,Sonek
Türkçe,-Um,Sonek
Türkçe,-Uz,Sonek
Türkçe,-Uz-,Sonek
Yunanca,-arion,Sonek
Yunanca,-ik°,Sonek
Yunanca,-ion,Sonek
Yunanca,-isk°,Sonek
Yunanca,-ism°,Sonek
Yunanca,-ist°,Sonek
Yunanca,-istik°,Sonek
Yunanca,-izō,Sonek
Yunanca,-ma(t)°,Sonek
Yunanca,-men-,Sonek
Yunanca,-osis,Sonek
Yunanca,-ousa,Sonek
Yunanca,-sis,Sonek
Yunanca,-t°,Sonek
Yunanca,-tēr,Sonek
Yunanca,a(n)-,Önek
Yunanca,amphi-,Önek
Yunanca,ana-,Önek
Yunanca,anti-,Önek
Yunanca,apo-,Önek
Yunanca,dia-,Önek
Yunanca,eis-,Önek
Yunanca,ek-,Önek
Yunanca,en-,Önek
Yunanca,epi-,Önek
Yunanca,hyper-,Önek
Yunanca,hypo-,Önek
Yunanca,kata-,Önek
Yunanca,meta-,Önek
Yunanca,para-,Önek
Yunanca,peri-,Önek
Yunanca,pro-2,Önek
Yunanca,syn-,Önek
, ,
